id,nombre,latitud,longitud,activa,radio_permitido_metros
1,Plaza Central,-34.603722,-58.381592,true,50
2,Estación Norte,-34.589123,-58.392345,true,50
3,Shopping del Centro,-34.601456,-58.386789,true,50
4,Parque Sur,-34.615678,-58.395432,true,50
5,Universidad,-34.598765,-58.375432,true,50
6,Hospital Municipal,-34.608912,-58.389123,true,50
7,Mercado Artesanal,-34.595432,-58.382345,true,50
8,Biblioteca Nacional,-34.602345,-58.391234,true,50
9,Estación de Tren,-34.607891,-58.378901,true,50
10,Plaza Deportiva,-34.612345,-58.384567,true,50
